revision_id,transformation class,impacted sentence part,impacted sentence part.1,impacted sentence part.2,impacted sentence part.3,ts_text,ts_label,affected_tus
68,in_sentence,sen_middle,,,, die,midletion,['Vor allem möchte ich mir Fähigkeiten und Fertigkeiten']
69,in_sentence,sen_middle,,,, wie zum Beispiel ,append,['Vor allem möchte ich mir Fähigkeiten und Fertigkeiten wie zum Beispiel ']
70,in_sentence,sen_middle,,,, ,deletion,['Vor allem möchte ich mir Fähigkeiten und Fertigkeiten wie zum Beispiel']
71,in_sentence,sen_middle,,,, das wissenschaftliche Arbeiten ,append,['Vor allem möchte ich mir Fähigkeiten und Fertigkeiten wie zum Beispiel das wissenschaftliche Arbeiten ']
72,in_sentence,sen_middle,,,,",",insertion,"['Vor allem möchte ich mir Fähigkeiten und Fertigkeiten, wie zum Beispiel das wissenschaftliche Arbeiten ']"
73,in_sentence,sen_middle,,,, ,deletion,"['Vor allem möchte ich mir Fähigkeiten und Fertigkeiten, wie zum Beispiel das wissenschaftliche Arbeiten']"
74,in_sentence,sen_middle,,,,", aneignen ",append,"['Vor allem möchte ich mir Fähigkeiten und Fertigkeiten, wie zum Beispiel das wissenschaftliche Arbeiten, aneignen ']"
75,in_sentence,sen_middle,,,, ,deletion,"['Vor allem möchte ich mir Fähigkeiten und Fertigkeiten, wie zum Beispiel das wissenschaftliche Arbeiten, aneignen']"
76,cross_sentence,sen_end,sen_start,,,". Diese können in einer Ausbildung nicht erlernt werden, stellen jedoch auf dem",append,"['Vor allem möchte ich mir Fähigkeiten und Fertigkeiten, wie zum Beispiel das wissenschaftliche Arbeiten, aneignen.', ' ', 'Diese können in einer Ausbildung nicht erlernt werden, stellen jedoch auf dem']"
77,in_sentence,sen_middle,,,,auf dem,deletion,"['Diese können in einer Ausbildung nicht erlernt werden, stellen jedoch ']"
78,in_sentence,sen_end,,,,im Berufsleben einen bedeutenden Bereich dar.,append,"['Diese können in einer Ausbildung nicht erlernt werden, stellen jedoch im Berufsleben einen bedeutenden Bereich dar.']"
79,in_sentence,sen_middle,,,,,replacement,"['Diese können in einer Ausbildung nicht erlernt werden, stellen jedocheinen bedeutenden Bereich dar.']"
80,in_sentence,sen_middle,,,, auf dem Arbeitsmarkt ,insertion,"['Diese können in einer Ausbildung nicht erlernt werden, stellen jedoch auf dem Arbeitsmarkt einen bedeutenden Bereich dar.']"
81,in_sentence,sen_start,,,," Dadurch fallen bestimmte berufliche Ziele, wie der Bereich der Forschung und des Managements ",append,"[' ', 'Dadurch fallen bestimmte berufliche Ziele, wie der Bereich der Forschung und des Managements ']"
82,in_sentence,sen_middle,,,, ,deletion,"['Dadurch fallen bestimmte berufliche Ziele, wie der Bereich der Forschung und des Managements']"
83,multi_sentence,sen_end,com_sen,sen_start,,", weg. Ohne ein Studium kann man in diesen Arbeitsfeldern nicht arbeiten. Der Bachelor Studiengang ""Sprachliche Integration"" berücksichtigt in meinen Augen all die wichtigen Komponenten genau richtig ",append,"['Dadurch fallen bestimmte berufliche Ziele, wie der Bereich der Forschung und des Managements, weg.', ' ', 'Ohne ein Studium kann man in diesen Arbeitsfeldern nicht arbeiten.', ' ', 'Der Bachelor Studiengang ""Sprachliche Integration"" berücksichtigt in meinen Augen all die wichtigen Komponenten genau richtig ']"
84,in_sentence,sen_middle,,,, ,deletion,"['Der Bachelor Studiengang ""Sprachliche Integration"" berücksichtigt in meinen Augen all die wichtigen Komponenten genau richtig']"
85,multi_sentence,sen_end,com_sen,com_sen,sen_start,", sodass sie letztendlich ein Ganzes ergeben. Die Theorie sowie der Mensch stehen im Vordergrund. Sprache hat mich schon immer sehr interessiert. kOMM",append,"['Der Bachelor Studiengang ""Sprachliche Integration"" berücksichtigt in meinen Augen all die wichtigen Komponenten genau richtig, sodass sie letztendlich ein Ganzes ergeben.', ' ', 'Die Theorie sowie der Mensch stehen im Vordergrund.', ' ', 'Sprache hat mich schon immer sehr interessiert.', ' ', 'kOMM']"
86,in_sentence,sen_start,,,,kOMM,deletion,[]
87,cross_sentence,com_sen,sen_start,,,"Kommunikationsfähigkeit sowie Offenheit gehören zu meinen Stärken. Was mich aber am meisten Freut, ist, dass hier der Mensch se",append,"['Kommunikationsfähigkeit sowie Offenheit gehören zu meinen Stärken.', ' ', 'Was mich aber am meisten Freut, ist, dass hier der Mensch se']"
88,in_sentence,sen_middle,,,, se,deletion,"['Was mich aber am meisten Freut, ist, dass hier der Mensch']"
89,in_sentence,sen_middle,,,,", sein Wesen ",append,"['Was mich aber am meisten Freut, ist, dass hier der Mensch, sein Wesen ']"
90,in_sentence,sen_middle,,,, ,deletion,"['Was mich aber am meisten Freut, ist, dass hier der Mensch, sein Wesen']"
91,cross_sentence,sen_end,sen_start,,,", seine Herkunft und seine Kultur ebenfalls eine grosse Rolle spielen. Ich erhoffe mir in diesem Sinn",append,"['Was mich aber am meisten Freut, ist, dass hier der Mensch, sein Wesen, seine Herkunft und seine Kultur ebenfalls eine grosse Rolle spielen.', ' ', 'Ich erhoffe mir in diesem Sinn']"
92,in_sentence,sen_middle,,,,Sinn,deletion,['Ich erhoffe mir in diesem ']
93,in_sentence,sen_middle,,,,Studiengang ,append,['Ich erhoffe mir in diesem Studiengang ']
94,in_sentence,sen_middle,,,, ,deletion,['Ich erhoffe mir in diesem Studiengang']
95,in_sentence,sen_middle,,,,", meine Sprachgewandtheit voll entfalten zu können und vor allem die Menschlichkeit zu förddern",append,"['Ich erhoffe mir in diesem Studiengang, meine Sprachgewandtheit voll entfalten zu können und vor allem die Menschlichkeit zu förddern']"
96,in_sentence,sen_middle,,,,dern,deletion,"['Ich erhoffe mir in diesem Studiengang, meine Sprachgewandtheit voll entfalten zu können und vor allem die Menschlichkeit zu förd']"
97,multi_sentence,sen_end,com_sen,com_sen,,"ern. Ich möchte die Welt ein wenig besser machen und den heutzutage immer grösser werdenden Defiziten und Krisen entgegenwirken. Wenn ich Menschen durch meine berufliche Tätigkeit unterstützen und aktiv fördern kann, habe ich mein Ziel erreicht.",append,"['Ich erhoffe mir in diesem Studiengang, meine Sprachgewandtheit voll entfalten zu können und vor allem die Menschlichkeit zu fördern.', ' ', 'Ich möchte die Welt ein wenig besser machen und den heutzutage immer grösser werdenden Defiziten und Krisen entgegenwirken.', ' ', 'Wenn ich Menschen durch meine berufliche Tätigkeit unterstützen und aktiv fördern kann, habe ich mein Ziel erreicht.']"
98,in_sentence,sen_middle,,,,,replacement,['Die Theorie sowie der Mensch.']
99,in_sentence,sen_middle,,,, kommen nicht zu kurz,insertion,['Die Theorie sowie der Mensch kommen nicht zu kurz.']
