tpsf_id,text_units_list,no_text_units
34,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,17
35,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,19
36,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN,18
37,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,19
38,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,19
39,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,21
40,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,21
41,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,21
42,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN,20
43,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,21
44,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,21
45,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,21
46,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,21
47,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,21
48,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,21
49,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,21
50,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,21
51,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,23
52,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,23
53,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,23
54,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,23
55,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,23
56,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,23
57,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,23
58,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,25
59,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,25
60,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,25
61,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,25
62,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,25
63,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,27
64,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,27
65,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,27
66,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,27
67,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,29
68,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,29
69,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,29
70,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,29
71,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,29
72,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,29
73,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,29
74,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,29
75,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,29
76,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,31
77,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,31
78,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,31
79,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,31
80,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,31
81,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,33
82,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,33
83,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,37
84,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,37
85,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,43
86,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN,42
87,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,45
88,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,45
89,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,45
90,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,45
91,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,47
92,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,47
93,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,47
94,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,47
95,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,47
96,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEC,47
97,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,51
98,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,51
99,SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN,51
