tpsf_id,text_units_list,no_text_units
42,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEC,17
43,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN,16
44,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEC,17
45,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEC,17
46,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEC,17
47,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEC,17
48,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEC,17
49,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEC,17
50,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEN-SIN-SEC,19
51,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEN-SIN,18
52,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEN-SIN-SEC,19
53,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEN-SIN-SEC,19
54,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEN-SIN-SEC,19
55,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEN-SIN-SEC,19
56,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEN-SIN-SEC,19
57,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEN-SIN-SEC,19
58,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEN-SIN-SEC,19
59,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEN-SIN-SEC,19
60,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEN-SIN-SEN,19
61,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEN-SIN-SEN,19
62,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEN-SIN-SEN,19
63,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEC-PIN-SEN-SIN-SEN,19
64,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEN-PIN-SEN-SIN-SEN,19
65,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEN-PIN-SEN-SIN-SEN,19
66,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEN-PIN-SEN-SIN-SEN,19
67,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEN-PIN-SEN-SIN-SEN,19
68,SEN-SIN-SEN-SIN-PIN-SEN-SIN-SEN-SIN-SEN-SIN-SEN-SIN-PIN-SEN-PIN-SEN-SIN-SEN,19
