tpsf_id,tpsf_text,transformation_text,scope,impact,pre_sentential_pause,sentence_beginning,sentence_middle,sentence_end,bursts,pattern
9,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. ",li,in-sentence transformation,insertion,,,li,,"[{'preceding_pause': 0.205, 'content': 'li'}]",['sentence_middle']
10,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zu der",Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zu der,in-sentence transformation,append,27.21,Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zu der,,,"[{'preceding_pause': 27.21, 'content': 'Als Kind'}, {'preceding_pause': 2.004, 'content': ' einer Auswandererfamilie'}, {'preceding_pause': 10.631, 'content': ' habe ich einen anderen Bezug zu der'}]",['sentence_beginning']
11,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zu", der,in-sentence transformation,deletion,,, der,,[],['sentence_middle']
12,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, die ","r Sprache als Kinder, die ",in-sentence transformation,append,,,"r Sprache als Kinder, die ",,"[{'preceding_pause': 0.115, 'content': 'r Sprache '}, {'preceding_pause': 2.363, 'content': 'als Kinder, die '}]",['sentence_middle']
13,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, ",die ,in-sentence transformation,deletion,,,die ,,[],['sentence_middle']
14,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprace",welche ausschliesslich mit ihrer Muttersprace,in-sentence transformation,append,,,welche ausschliesslich mit ihrer Muttersprace,,"[{'preceding_pause': 0.24, 'content': 'welche ausschliesslich mit ihrer Muttersprace'}]",['sentence_middle']
15,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprac",e,in-sentence transformation,deletion,,,e,,[],['sentence_middle']
16,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stee a",he konfrontiert wurden. Ich stee a,cross-sentence,append,,,,he konfrontiert wurden.,"[{'preceding_pause': 0.276, 'content': 'he '}, {'preceding_pause': 3.459, 'content': 'konfrontiert wurden.'}, {'preceding_pause': 2.083, 'content': ' '}, {'preceding_pause': 58.722, 'content': 'Ich stee a'}]","['sentence_end', 'sentence_beginning']"
,,,,,0.276,Ich stee a,,,"[{'preceding_pause': 0.276, 'content': 'he '}, {'preceding_pause': 3.459, 'content': 'konfrontiert wurden.'}, {'preceding_pause': 2.083, 'content': ' '}, {'preceding_pause': 58.722, 'content': 'Ich stee a'}]","['sentence_end', 'sentence_beginning']"
17,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich st",ee a,in-sentence transformation,deletion,,,ee a,,[],['sentence_middle']
18,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe also in direkter Rea",ehe also in direkter Rea,in-sentence transformation,append,,,ehe also in direkter Rea,,"[{'preceding_pause': 0.569, 'content': 'ehe also in direkter Rea'}]",['sentence_middle']
19,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe also in direkter Re",a,in-sentence transformation,deletion,,,a,,[],['sentence_middle']
20,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe also in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.","lation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.",in-sentence transformation,append,,,,"lation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.","[{'preceding_pause': 0.43, 'content': 'lation zu '}, {'preceding_pause': 2.933, 'content': 'zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.'}]",['sentence_end']
21,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.",also ,in-sentence transformation,midletion,,,also ,,[],['sentence_middle']
22,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.",somit ,in-sentence transformation,insertion,,,somit ,,"[{'preceding_pause': 0.361, 'content': 'somit '}]",['sentence_middle']
23,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften. All dies prägt m", All dies prägt m,in-sentence transformation,append,,, All dies prägt m,,"[{'preceding_pause': 6.756, 'content': ' '}, {'preceding_pause': 170.219, 'content': 'All dies '}, {'preceding_pause': 2.159, 'content': 'prägt m'}]",['sentence_middle']
24,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften. All dies prägt", m,in-sentence transformation,deletion,,, m,,[],['sentence_middle']
25,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften. All dies prägte mich gleichermassen. ",e mich gleichermassen. ,in-sentence transformation,append,,,,e mich gleichermassen. ,"[{'preceding_pause': 0.619, 'content': 'e mich gleichermassen. '}]",['sentence_end']
26,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften. All dies prägt mich gleichermassen. ",e,in-sentence transformation,midletion,,,e,,[],['sentence_middle']
28,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften. All dies prägt mich gleichermassen. ", ,in-sentence transformation,insertion,,, ,,[],['sentence_middle']
29,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften. All dies prägt mich gleichermassen. Um beim Aufbauei",Um beim Aufbauei,in-sentence transformation,append,7.964,Um beim Aufbauei,,,"[{'preceding_pause': 7.964, 'content': 'Um beim Aufbau'}, {'preceding_pause': 6.555, 'content': 'ei'}]",['sentence_beginning']
30,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften. All dies prägt mich gleichermassen. Um beim Aufbau",ei,in-sentence transformation,deletion,,,ei,,[],['sentence_middle']
31,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften. All dies prägt mich gleichermassen. Um beim Aufbau eines Lebens in einem anderssprachigen l", eines Lebens in einem anderssprachigen l,in-sentence transformation,append,,, eines Lebens in einem anderssprachigen l,,"[{'preceding_pause': 0.081, 'content': ' eines Lebens in einem '}, {'preceding_pause': 107.414, 'content': 'anderssprachigen l'}]",['sentence_middle']
32,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften. All dies prägt mich gleichermassen. Um beim Aufbau eines Lebens in einem anderssprachigen ",l,in-sentence transformation,deletion,,,l,,[],['sentence_middle']
33,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften. All dies prägt mich gleichermassen. Um beim Aufbau eines Lebens in einem anderssprachigen Land Unterstützung zu bieten, muss man sich mit dem Lernenden seiner Herkunft und seinen Fähigkeiten auseinandersetzen.","Land Unterstützung zu bieten, muss man sich mit dem Lernenden seiner Herkunft und seinen Fähigkeiten auseinandersetzen.",in-sentence transformation,append,,,,"Land Unterstützung zu bieten, muss man sich mit dem Lernenden seiner Herkunft und seinen Fähigkeiten auseinandersetzen.","[{'preceding_pause': 0.405, 'content': 'Land '}, {'preceding_pause': 2.365, 'content': 'Unterstützung zu bieten'}, {'preceding_pause': 3.258, 'content': ', '}, {'preceding_pause': 15.309, 'content': 'muss man '}, {'preceding_pause': 2.347, 'content': 'sich mit dem Lernenden seiner Herkunft '}, {'preceding_pause': 2.131, 'content': 'und '}, {'preceding_pause': 3.383, 'content': 'seinen Fähigkeiten auseinandersetzen'}, {'preceding_pause': 2.985, 'content': '.'}]",['sentence_end']
34,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften. All dies prägt mich gleichermassen. Um beim Aufbau eines Lebens in einem anderssprachigen Land Unterstützung zu bieten, muss man sich mit dem Lernenden, seiner Herkunft und seinen Fähigkeiten auseinandersetzen.",",",in-sentence transformation,insertion,,,",",,"[{'preceding_pause': 7.656, 'content': ','}]",['sentence_middle']
35,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften. All dies prägt mich gleichermassen. Um beim Aufbau eines Lebens in einem anderssprachigen Land Unterstützung zu bieten, muss man sich mit dem Lernenden, seiner Herkunft und seinen Fähigkeiten auseinandersetzen.  in die",  in die,in-sentence transformation,append,,,  in die,,"[{'preceding_pause': 95.016, 'content': '  '}, {'preceding_pause': 14.989, 'content': 'in die'}]",['sentence_middle']
36,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften. All dies prägt mich gleichermassen. Um beim Aufbau eines Lebens in einem anderssprachigen Land Unterstützung zu bieten, muss man sich mit dem Lernenden, seiner Herkunft und seinen Fähigkeiten auseinandersetzen.  ",in die,in-sentence transformation,deletion,0.423,in die,,,[],['sentence_beginning']
37,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen. Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten. Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft. Ich selbst bin bilingual aufgewachsen. Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander. Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden. Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften. All dies prägt mich gleichermassen. Um beim Aufbau eines Lebens in einem anderssprachigen Land Unterstützung zu bieten, muss man sich mit dem Lernenden, seiner Herkunft und seinen Fähigkeiten auseinandersetzen.  In dies",In dies,in-sentence transformation,append,0.319,In dies,,,"[{'preceding_pause': 0.319, 'content': 'In dies'}]",['sentence_beginning']
