sen_text,true_senoperations,predicted_senoperations
"Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nichtextr zu unterrichten und vermitteln weiss, wird das Lernen einer neuen Sprache ",pre-contextual_insertion,pre-contextual_insertion
"Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichten und vermitteln weiss, wird das Lernen einer neuen Sprache extrem schwer.",production,production
Wenn man diese wichtigen Aspekte in Angriff genommen hat,production,production
Wenn man diese wichtigen  in Angriff genommen hat,pre-contextual_deletion,production
Wenn man diese wichtigen Punkte in Angriff genommen hat,production,pre-contextual_insertion
"Wenn man diese wichtigen Punkte in Angriff genommen hat, befindet man sich mitten in der Integration u",production,production
"Wenn man diese wichtigen Punkte in Angriff genommen hat, befindet man sich mitten in der Integration ",pre-contextual_deletion,pre-contextual_deletion
"Wenn man diese wichtigen Punkte in Angriff genommen hat, befindet man sich mitten in der Integration und damit im Prozess der Aufnahme in die Gesellschaft.",production,production
"Mit diesem Studium habe ich die Chance, etwas zu ",production,production
"Mit diesem Studium habe ich die Chance, etwas ",pre-contextual_deletion,pre-contextual_deletion
"Mit diesem Studium habe ich die Chance, etwas das mich bereits mein Leben lang begleitet, in meinen Beruf umzuwndeln.",production,production
"Mit diesem Studium habe ich die Chance, etwas, das mich bereits mein Leben lang begleitet, in meinen Beruf umzuwndeln.",contextual_insertion,contextual_insertion
Vor allem möchte ich mir die Fähigkeiten und Fertigkeiten,production,production
Vor allem möchte ich mir Fähigkeiten und Fertigkeiten,pre-contextual_deletion,production
Vor allem möchte ich mir Fähigkeiten und Fertigkeiten wie zum Beispiel ,production,production
Vor allem möchte ich mir Fähigkeiten und Fertigkeiten wie zum Beispiel,pre-contextual_deletion,pre-contextual_deletion
Vor allem möchte ich mir Fähigkeiten und Fertigkeiten wie zum Beispiel das wissenschaftliche Arbeiten ,production,production
"Vor allem möchte ich mir Fähigkeiten und Fertigkeiten, wie zum Beispiel das wissenschaftliche Arbeiten ",production,pre-contextual_insertion
"Vor allem möchte ich mir Fähigkeiten und Fertigkeiten, wie zum Beispiel das wissenschaftliche Arbeiten",pre-contextual_deletion,pre-contextual_deletion
"Vor allem möchte ich mir Fähigkeiten und Fertigkeiten, wie zum Beispiel das wissenschaftliche Arbeiten, aneignen ",production,production
"Vor allem möchte ich mir Fähigkeiten und Fertigkeiten, wie zum Beispiel das wissenschaftliche Arbeiten, aneignen",pre-contextual_deletion,pre-contextual_deletion
"Vor allem möchte ich mir Fähigkeiten und Fertigkeiten, wie zum Beispiel das wissenschaftliche Arbeiten, aneignen.",production,production
"Diese können in einer Ausbildung nicht erlernt werden, stellen jedoch auf dem",production,production
"Diese können in einer Ausbildung nicht erlernt werden, stellen jedoch ",pre-contextual_deletion,pre-contextual_deletion
"Diese können in einer Ausbildung nicht erlernt werden, stellen jedoch im Berufsleben einen bedeutenden Bereich dar.",production,production
"Diese können in einer Ausbildung nicht erlernt werden, stellen jedocheinen bedeutenden Bereich dar.",contextual_deletion,contextual_deletion
"Diese können in einer Ausbildung nicht erlernt werden, stellen jedoch auf dem Arbeitsmarkt einen bedeutenden Bereich dar.",contextual_insertion,contextual_insertion
"Dadurch fallen bestimmte berufliche Ziele, wie der Bereich der Forschung und des Managements ",production,production
"Dadurch fallen bestimmte berufliche Ziele, wie der Bereich der Forschung und des Managements",pre-contextual_deletion,pre-contextual_deletion
"Dadurch fallen bestimmte berufliche Ziele, wie der Bereich der Forschung und des Managements, weg.",production,production
Ohne ein Studium kann man in diesen Arbeitsfeldern nicht arbeiten.,production,production
"Der Bachelor Studiengang ""Sprachliche Integration"" berücksichtigt in meinen Augen all die wichtigen Komponenten genau richtig ",production,production
"Der Bachelor Studiengang ""Sprachliche Integration"" berücksichtigt in meinen Augen all die wichtigen Komponenten genau richtig",pre-contextual_deletion,pre-contextual_deletion
"Der Bachelor Studiengang ""Sprachliche Integration"" berücksichtigt in meinen Augen all die wichtigen Komponenten genau richtig, sodass sie letztendlich ein Ganzes ergeben.",production,production
Die Theorie sowie der Mensch stehen im Vordergrund.,production,production
Die Theorie sowie der Mensch.,contextual_deletion,contextual_deletion
Die Theorie sowie der Mensch kommen nicht zu kurz.,contextual_insertion,contextual_insertion
Sprache hat mich schon immer sehr interessiert.,production,production
kOMM,production,production
Kommunikationsfähigkeit sowie Offenheit gehören zu meinen Stärken.,production,production
"Was mich aber am meisten Freut, ist, dass hier der Mensch se",production,production
"Was mich aber am meisten Freut, ist, dass hier der Mensch",pre-contextual_deletion,pre-contextual_deletion
"Was mich aber am meisten Freut, ist, dass hier der Mensch, sein Wesen ",production,production
"Was mich aber am meisten Freut, ist, dass hier der Mensch, sein Wesen",pre-contextual_deletion,pre-contextual_deletion
"Was mich aber am meisten Freut, ist, dass hier der Mensch, sein Wesen, seine Herkunft und seine Kultur ebenfalls eine grosse Rolle spielen.",production,production
Ich erhoffe mir in diesem Sinn,production,production
Ich erhoffe mir in diesem ,pre-contextual_deletion,pre-contextual_deletion
Ich erhoffe mir in diesem Studiengang ,production,production
Ich erhoffe mir in diesem Studiengang,pre-contextual_deletion,pre-contextual_deletion
"Ich erhoffe mir in diesem Studiengang, meine Sprachgewandtheit voll entfalten zu können und vor allem die Menschlichkeit zu förddern",production,production
"Ich erhoffe mir in diesem Studiengang, meine Sprachgewandtheit voll entfalten zu können und vor allem die Menschlichkeit zu förd",pre-contextual_deletion,pre-contextual_deletion
"Ich erhoffe mir in diesem Studiengang, meine Sprachgewandtheit voll entfalten zu können und vor allem die Menschlichkeit zu fördern.",production,production
Ich möchte die Welt ein wenig besser machen und den heutzutage immer grösser werdenden Defiziten und Krisen entgegenwirken.,production,production
"Wenn ich Menschen durch meine berufliche Tätigkeit unterstützen und aktiv fördern kann, habe ich mein Ziel erreicht.",production,production
